Algorithm,K-Value,Actual Clusters,Total Classes,Min Size,Median Size,Max Size,Distribution
ACDC,N/A,4,157,2,13,108,"[108, 34, 13, 2]"
LIMBO,2,2,157,32,32,125,"[125, 32]"
LIMBO,3,3,157,12,32,113,"[113, 32, 12]"
LIMBO,4,4,157,5,7,113,"[113, 32, 7, 5]"
LIMBO,5,5,157,2,7,113,"[113, 32, 7, 3, 2]"
LIMBO,6,6,157,2,7,81,"[81, 32, 32, 7, 3, 2]"
LIMBO,7,7,157,2,12,81,"[81, 32, 20, 12, 7, 3, 2]"
LIMBO,8,8,157,2,9,81,"[81, 32, 12, 11, 9, 7, 3, 2]"
LIMBO,9,9,157,2,9,81,"[81, 32, 12, 11, 9, 4, 3, 3, 2]"
LIMBO,10,10,157,2,9,43,"[43, 38, 32, 12, 11, 9, 4, 3, 3, 2]"
LIMBO,11,11,157,2,6,43,"[43, 38, 32, 11, 9, 6, 6, 4, 3, 3, 2]"
LIMBO,12,12,157,2,6,43,"[43, 38, 32, 11, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,13,13,157,2,6,38,"[38, 32, 24, 19, 11, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,14,14,157,2,6,38,"[38, 32, 24, 11, 10, 9, 6, 6, 6, 4, 3, 3, 3, 2]"
LIMBO,15,15,157,2,6,38,"[38, 32, 24, 11, 9, 6, 6, 6, 6, 4, 4, 3, 3, 3, 2]"
LIMBO,16,16,157,2,6,38,"[38, 32, 15, 11, 9, 9, 6, 6, 6, 6, 4, 4, 3, 3, 3, 2]"
LIMBO,17,17,157,2,6,38,"[38, 32, 15, 11, 9, 9, 6, 6, 6, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,18,18,157,2,5,38,"[38, 32, 15, 9, 9, 6, 6, 6, 6, 5, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,19,19,157,2,5,38,"[38, 32, 15, 9, 6, 6, 6, 6, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,20,20,157,2,5,38,"[38, 32, 10, 9, 6, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2]"
LIMBO,21,21,157,2,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2]"
LIMBO,22,22,157,2,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2]"
LIMBO,23,23,157,1,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1]"
LIMBO,24,24,157,1,4,38,"[38, 32, 10, 9, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,25,25,157,1,4,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,26,26,157,1,4,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,27,27,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]"
LIMBO,28,28,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,29,29,157,1,3,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,30,30,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,31,31,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,32,32,157,1,2,38,"[38, 32, 10, 6, 6, 6, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,33,33,157,1,2,38,"[38, 32, 10, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,34,34,157,1,2,38,"[38, 32, 10, 6, 6, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,35,35,157,1,2,38,"[38, 32, 6, 6, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,36,36,157,1,2,38,"[38, 32, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,37,37,157,1,2,38,"[38, 32, 6, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,38,38,157,1,2,38,"[38, 32, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]"
LIMBO,39,39,157,1,2,38,"[38, 32, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,40,40,157,1,2,38,"[38, 32, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,41,41,157,1,2,38,"[38, 32, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,42,42,157,1,2,38,"[38, 32, 6, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,43,43,157,1,2,38,"[38, 32, 6, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,44,44,157,1,2,38,"[38, 32, 6, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,45,45,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,46,46,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,47,47,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,48,48,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,49,49,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
LIMBO,50,50,157,1,2,38,"[38, 32, 5, 5, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,2,2,157,1,1,156,"[156, 1]"
WCA,3,3,157,1,1,155,"[155, 1, 1]"
WCA,4,4,157,1,1,154,"[154, 1, 1, 1]"
WCA,5,5,157,1,1,153,"[153, 1, 1, 1, 1]"
WCA,6,6,157,1,1,152,"[152, 1, 1, 1, 1, 1]"
WCA,7,7,157,1,1,151,"[151, 1, 1, 1, 1, 1, 1]"
WCA,8,8,157,1,1,150,"[150, 1, 1, 1, 1, 1, 1, 1]"
WCA,9,9,157,1,1,149,"[149, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,10,10,157,1,1,148,"[148, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,11,11,157,1,1,147,"[147, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,12,12,157,1,1,146,"[146, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,13,13,157,1,1,145,"[145, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,14,14,157,1,1,144,"[144, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,15,15,157,1,1,143,"[143, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,16,16,157,1,1,142,"[142, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,17,17,157,1,1,141,"[141, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,18,18,157,1,1,140,"[140, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,19,19,157,1,1,139,"[139, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,20,20,157,1,1,138,"[138, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,21,21,157,1,1,137,"[137, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,22,22,157,1,1,136,"[136, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,23,23,157,1,1,135,"[135, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,24,24,157,1,1,134,"[134, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,25,25,157,1,1,133,"[133, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,26,26,157,1,1,132,"[132, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,27,27,157,1,1,131,"[131, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,28,28,157,1,1,130,"[130, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,29,29,157,1,1,129,"[129, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,30,30,157,1,1,128,"[128, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,31,31,157,1,1,127,"[127, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,32,32,157,1,1,126,"[126, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,33,33,157,1,1,125,"[125, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,34,34,157,1,1,124,"[124, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,35,35,157,1,1,123,"[123, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,36,36,157,1,1,122,"[122, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,37,37,157,1,1,121,"[121, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,38,38,157,1,1,120,"[120, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,39,39,157,1,1,119,"[119, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,40,40,157,1,1,118,"[118, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,41,41,157,1,1,117,"[117, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,42,42,157,1,1,59,"[59, 58, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,43,43,157,1,1,59,"[59, 42, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,44,44,157,1,1,42,"[42, 33, 26, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,45,45,157,1,1,42,"[42, 33, 16, 14, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,46,46,157,1,1,33,"[33, 22, 20, 16, 14, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,47,47,157,1,1,22,"[22, 21, 20, 16, 14, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,48,48,157,1,1,22,"[22, 21, 16, 14, 12, 12, 11, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,49,49,157,1,1,22,"[22, 16, 14, 12, 12, 12, 11, 9, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
WCA,50,50,157,1,1,16,"[16, 14, 13, 12, 12, 12, 11, 9, 9, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
